Length,Group
96.8,1
100.7,1
94.55,1
99.65,1
109.15,1
102.75,1
97.7,1
92.1,1
91.9,1
89.5,1
97,1
97.7,1
97,1
94.55,1
106.45,1
94.55,1
94.05,1
89.45,1
89.85,1
98.2,1
101,1
88.25,1
92.6,1
98.25,1
90.85,1
95.25,1
88.8,1
101.4,1
90.55,1
109.8,1
88.95,1
101.05,1
92.6,1
97,1
91.95,1
88.95,1
95.75,1
105.95,2
114.9,2
110.35,2
123.1,2
119.3,2
110,2
98.95,2
114.2,2
108.95,2
105.05,2
114.9,2
114.35,2
112.25,2
106.15,2
102.6,2
102.4,2
105.05,2
112.65,2
128.95,2
117.7,2
113.7,2
116.3,2
108.75,2
113.3,2
106,2
101.75,2
