"Length","Group"
207,1
172,1
191,1
221,1
203,1
241,1
208,1
199,1
185,1
235,1
214,1
134,1
226,1
222,1
213,1
272,1
185,1
181,1
238,1
141,1
203,1
222,1
221,1
180,1
276,1
226,1
224,1
206,1
117,1
252,1
221,1
223,1
181,1
217,1
208,1
202,1
218,1
216,1
168,1
168,1
214,1
203,1
280,1
203,1
225,1
227,1
239,1
265,1
228,1
226,1
236,1
195,1
284,1
183,1
266,1
258,1
214,1
260,1
203,1
245,1
212,1
260,1
210,1
265,1
206,1
198,1
210,1
211,1
274,1
223,1
175,1
203,1
168,1
178,1
217,1
200,1
226,1
207,1
232,1
182,1
215,1
239,1
210,1
207,1
224,1
251,1
212,1
201,1
218,1
152,1
220,1
214,1
215,1
206,1
247,1
221,1
199,1
196,1
239,1
199,1
244,1
214,1
236,1
249,1
212,1
259,1
189,1
235,1
239,1
239,1
210,1
203,1
188,1
237,1
231,1
222,1
174,1
219,1
231,1
237,1
190,1
245,1
171,1
261,1
182,1
162,1
182,1
225,1
203,1
195,1
178,1
240,1
222,1
286,2
226,2
187,2
204,2
203,2
206,2
196,2
168,2
229,2
184,2
186,2
281,2
203,2
177,2
179,2
194,2
206,2
219,2
173,2
189,2
194,2
196,2
212,2
168,2
188,2
232,2
242,2
200,2
135,2
161,2
189,2
196,2
142,2
179,2
212,2
163,2
196,2
189,2
142,2
168,2
121,2
