"Size","Group"
9,1
6.3,1
8.6,1
7.4,1
8.8,1
9.4,1
5.7,1
7,1
8.7,1
5.2,1
4.7,1
5,1
6.8,1
4.9,1
7.1,1
4.8,1
3.5,1
7.1,1
7.4,1
5.3,1
8.9,1
7.8,1
5.7,1
6.4,1
4.7,1
4.9,1
10.4,1
7.6,1
7.1,1
8.4,1
8.4,1
8,1
6.2,1
6.3,1
6.4,1
5.9,1
8,1
7.1,1
8.8,1
8.3,1
12.6,2
16.7,2
20,2
17.7,2
16.3,2
14.6,2
15.9,2
17.8,2
15.1,2
17.7,2
16.2,2
15.8,2
13.9,2
16.9,2
18.1,2
23.9,2
16,2
22.1,2
16.4,2
24.3,2
23.3,2
17.9,2
13.9,2
22.8,2
11.2,2
17.1,2
13.4,2
18.3,2
19.4,2
19.5,2
20,2
19.1,2
22.8,2
19.6,2
18.6,2
21,2
16.6,2
13,2
18.4,2
16.4,2
19.1,2
18.9,2
17.9,2
18.2,2
16.1,2
19.4,2
18.7,2
15.2,2
20.7,2
21.5,2
