"Area","Group"
2.62,1
1.6,1
2.39,1
2.05,1
2.09,1
2.28,1
2.57,1
1.8,1
2.67,1
1.19,1
3.79,1
2.33,1
1.98,1
3.91,1
3.53,1
3.01,1
2.45,1
2.81,1
3.21,1
2.56,1
2.26,1
2.39,1
2.55,1
3.7,1
3.59,1
1.53,1
2.82,1
3.61,1
2.1,1
2.61,1
3.72,2
1.33,2
4.26,2
3.11,2
5.02,2
5.42,2
4.97,2
3.95,2
4.3,2
2.36,2
3.08,2
3.94,2
3.62,2
3.35,2
2.58,2
2.98,2
2.87,2
3.67,2
3.32,2
4.39,2
3.02,2
2.62,2
2.25,2
4.11,2
3.87,2
1.64,2
4,2
3.73,2
3.15,2
3.72,2
3.12,2
3.08,2
2.73,2
3.54,2
2.76,2
2.22,2
3.57,2
4.37,2
3.43,2
2.22,2
5.28,2
3.63,2
3.58,2
2.73,2
2.37,2
5.28,2
