"PRE","POST"
350,321
700,483
356,336
362,447
361,214
304,285
675,480
367,330
387,325
535,325
328,250
557,410
569,603
260,178
320,362
405,235
351,310
340,320
310,336
361,333
339,280
527,492
245,330
313,310
241,230
313,298
323,349
438,345
497,300
302,335
471,630
540,400
275,278
557,381
595,557
315,221
363,291
305,310
200,220
270,315
300,230
792,575
275,140
307,192
312,217
375,462
440,414
300,250
379,335
682,339
475,344
427,277
405,514
312,402
385,282
274,317
340,323
524,383
301,279
411,383
250,285
600,618
393,355
232,252
332,331
451,400
