site,Geometry,Measure
1,length,7.2
1,length,7.5
1,length,6.89
1,length,6.95
1,length,6.73
1,length,7.25
1,length,7.2
1,length,6.85
1,length,7.52
1,length,7.01
1,length,6.65
1,length,7.55
1,length,7.14
1,length,7.45
1,length,7.24
1,length,7.75
1,length,6.85
1,length,6.5
1,length,6.64
1,length,7.19
1,length,7.15
1,length,7.21
1,length,7.15
1,length,7.3
1,length,6.35
1,width,6.1
1,width,5.9
1,width,5.45
1,width,5.76
1,width,5.36
1,width,5.84
1,width,5.83
1,width,5.75
1,width,6.27
1,width,5.65
1,width,5.55
1,width,6.25
1,width,5.65
1,width,6.05
1,width,5.73
1,width,6.35
1,width,6.05
1,width,5.3
1,width,5.36
1,width,5.85
1,width,6.3
1,width,6.12
1,width,6.2
1,width,6.15
1,width,5.25
1,height,4.45
1,height,4.65
1,height,4
1,height,4.02
1,height,3.9
1,height,4.4
1,height,4.19
1,height,3.95
1,height,4.6
1,height,4.2
1,height,4.1
1,height,4.72
1,height,4.26
1,height,4.85
1,height,4.29
1,height,4.85
1,height,4.5
1,height,3.73
1,height,3.99
1,height,4.05
1,height,4.55
1,height,4.37
1,height,4.36
1,height,4.65
1,height,3.75
2,length,7.25
2,length,7.23
2,length,6.85
2,length,7.07
2,length,6.55
2,length,7.43
2,length,7.3
2,length,6.9
2,length,7.1
2,length,6.95
2,length,7.39
2,length,6.54
2,length,6.39
2,length,6.08
2,length,6.3
2,length,6.35
2,length,7.34
2,length,6.7
2,length,7.08
2,length,7.09
2,length,7.4
2,length,6
2,length,6.94
2,width,6.25
2,width,5.99
2,width,5.61
2,width,5.91
2,width,5.3
2,width,6.1
2,width,5.95
2,width,5.8
2,width,5.81
2,width,5.65
2,width,6.04
2,width,5.89
2,width,5
2,width,4.8
2,width,5.05
2,width,5.1
2,width,6.45
2,width,5.51
2,width,5.81
2,width,5.95
2,width,6.25
2,width,4.75
2,width,5.63
2,height,4.65
2,height,4.2
2,height,4.01
2,height,4.31
2,height,3.95
2,height,4.6
2,height,4.29
2,height,4.33
2,height,4.26
2,height,4.31
2,height,4.5
2,height,3.65
2,height,3.72
2,height,3.51
2,height,3.69
2,height,3.73
2,height,4.55
2,height,3.89
2,height,4.34
2,height,4.39
2,height,4.85
2,height,3.37
2,height,4.09
3,length,5.95
3,length,7.6
3,length,6.15
3,length,7
3,length,6.81
3,length,7.1
3,length,6.85
3,length,6.68
3,length,5.51
3,length,6.85
3,length,7.1
3,length,6.81
3,length,7.3
3,length,7.05
3,length,6.75
3,length,6.75
3,length,7.35
3,length,6.22
3,length,6.8
3,length,6.29
3,length,7.55
3,length,7.45
3,length,6.7
3,length,7.51
3,length,6.95
3,length,7.5
3,width,4.75
3,width,6.45
3,width,5.05
3,width,5.8
3,width,5.61
3,width,5.75
3,width,5.55
3,width,5.5
3,width,4.52
3,width,5.53
3,width,5.8
3,width,5.45
3,width,6
3,width,6.25
3,width,5.65
3,width,5.57
3,width,6.21
3,width,5.11
3,width,5.81
3,width,4.95
3,width,5.93
3,width,6.19
3,width,5.55
3,width,6.2
3,width,5.69
3,width,6.2
3,height,3.2
3,height,4.56
3,height,3.5
3,height,4.3
3,height,4.22
3,height,4.1
3,height,3.89
3,height,3.9
3,height,2.7
3,height,4
3,height,4.45
3,height,3.51
3,height,4.31
3,height,4.71
3,height,4
3,height,4.06
3,height,4.29
3,height,3.35
3,height,4.5
3,height,3.69
3,height,4.55
3,height,4.7
3,height,4
3,height,4.74
3,height,4.29
3,height,4.65
