"HEIGHT","CV"
149,14.4
149,13.4
155,13.5
155,13.5
156,13
156,13.6
157,14.3
157,14.9
158,14
158,14
160,15.4
160,14.7
161,15.5
161,15.7
161,15.8
161,16
161,14.6
161,15.2
162,15.2
162,16.5
162,17
162,14.7
163,16
163,15.8
163,17
163,15.1
163,14.6
163,15.6
163,14.6
164,17
164,16.3
164,16
164,16
165,15.7
165,16.3
165,17.4
165,17
165,16.3
166,14.1
166,14.2
166,14.7
166,13.9
166,17.2
167,16.7
167,16.5
167,14.7
167,14.3
167,14.8
167,15
167,15.5
167,15.4
168,17.3
168,16.3
168,15.3
168,16
168,16.6
168,15.7
168,16.3
168,16.6
168,15.4
170,16.6
170,16
170,17
170,16.4
171,16.5
171,16.3
171,16.4
171,16.5
172,17.6
172,16.8
172,17
172,17.6
173,17.3
173,16.8
174,15.5
174,15.5
175,17
175,15.6
175,16.8
175,17.4
175,17.6
175,16.5
175,16.6
175,17
176,18
176,17
176,17.4
176,18.2
176,17.3
177,17.2
177,18.3
179,16.4
179,16.1
179,17.6
179,17.8
179,16.1
179,16
179,16
179,17.5
179,17.5
180,18
180,17.9
181,18.4
181,16.4
181,15.8
181,18.8
181,18.6
182,18
182,17.9
182,17.5
182,17.4
182,17
182,17.5
182,17.8
184,18.4
184,18.5
184,17.7
184,17.7
184,17.4
184,18.4
185,19
185,19.6
187,19.1
187,19.2
187,17.8
187,19.3
188,17.5
188,18
189,18
189,18.8
190,18.3
190,18.6
190,18.8
190,19.2
191,18.5
191,18.5
191,19
191,18.5
194,19.8
194,18.8
194,18.4
194,19
195,18
195,18.2
196,17.6
196,18.3
197,18.9
197,19.2
200,21
200,19.2
202,18.6
202,18.6
182,20
190,20
190,19.5
