"SUBJ","X","Y"
1,98,147
2,99,149
3,96,175
4,109,145
5,91,135
6,107,149
7,87,121
8,110,170
9,102,163
10,103,141
11,117,149
12,92,135
13,90,127
14,93,132
15,113,181
16,99,152
17,114,164
18,103,144
19,96,148
20,111,180
21,128,183
22,92,132
23,84,135
24,102,141
25,103,147
26,117,167
27,89,129
28,107,168
29,104,137
30,84,120
31,89,138
32,102,160
33,93,131
34,95,144
35,104,162
36,90,138
37,106,173
38,101,174
39,110,152
40,96,157
41,98,151
42,108,153
43,90,143
44,94,129
45,117,170
46,92,133
47,110,177
48,98,138
49,98,147
50,102,162
51,87,131
52,105,167
53,92,140
54,114,179
55,102,148
56,97,158
57,115,161
58,97,150
59,99,162
60,100,128
61,101,145
62,96,140
63,107,167
64,84,120
65,95,120
66,95,144
67,96,132
68,101,166
69,110,170
70,120,170
71,99,144
72,104,137
73,93,149
74,116,174
75,93,131
76,88,146
77,94,143
78,99,146
79,86,120
80,93,145
81,96,141
82,113,185
83,85,132
84,87,127
85,117,168
86,107,152
87,106,151
88,107,164
89,94,130
90,96,170
91,103,161
92,104,178
93,94,132
94,105,158
95,120,190
96,118,163
97,87,137
98,101,161
99,92,154
100,110,156
101,85,128
102,94,141
103,100,146
104,104,164
105,99,138
106,96,156
107,89,137
108,96,138
109,116,178
110,102,145
111,93,129
112,106,162
113,104,153
114,107,159
115,103,167
116,109,156
117,106,155
118,88,127
119,109,180
120,108,188
121,102,150
122,101,160
123,93,126
124,100,143
125,103,153
126,88,133
127,90,139
128,93,135
129,91,133
130,100,121
131,105,179
132,118,168
133,87,138
134,96,157
135,101,168
136,103,156
137,114,164
138,101,136
139,107,173
140,95,130
141,90,125
142,97,141
143,112,173
144,98,145
145,97,146
146,113,178
147,101,150
148,107,154
149,88,127
150,84,139
151,103,148
152,94,139
153,85,130
154,107,153
155,107,135
156,85,120
157,99,138
158,101,148
159,102,140
160,99,139
161,87,153
162,110,168
163,110,169
164,102,159
165,93,153
166,113,151
167,102,170
168,108,149
169,86,120
170,102,165
171,124,187
172,96,155
173,108,160
174,80,125
175,96,147
176,94,153
177,99,155
178,118,174
179,119,173
180,106,161
181,96,147
182,100,152
183,102,150
184,112,171
185,100,155
186,121,165
187,87,137
188,110,180
189,104,144
190,95,134
191,95,147
192,96,138
193,80,124
194,103,144
195,106,175
196,105,149
197,111,144
198,95,135
199,104,152
200,80,130
201,95,147
202,80,125
203,103,165
204,104,159
205,93,142
206,107,151
207,103,161
208,96,141
209,92,154
210,108,160
211,108,172
212,80,121
213,103,170
214,104,145
215,105,141
216,111,173
217,100,136
218,111,164
219,102,160
220,96,138
221,87,129
222,112,164
223,105,163
224,87,124
225,100,148
226,112,178
227,114,168
228,98,145
229,105,138
230,106,150
231,106,153
232,108,161
233,103,153
234,96,142
235,106,163
236,84,120
237,95,146
238,102,152
239,99,158
240,92,145
241,111,158
242,96,154
243,96,139
244,100,145
245,102,130
246,103,152
247,90,133
248,100,162
249,114,158
250,115,162
251,106,181
252,80,124
253,95,144
254,107,170
255,85,124
256,93,129
257,80,138
258,99,151
259,107,151
260,115,168
261,102,191
262,99,152
263,112,158
264,93,152
265,117,170
266,102,130
267,120,159
268,104,163
269,104,151
270,87,148
271,96,129
272,104,153
273,118,183
274,94,130
275,98,167
276,105,154
277,101,155
278,110,158
279,99,150
280,104,158
281,120,179
282,92,131
283,103,144
284,108,156
285,101,131
286,101,145
287,97,156
288,117,156
289,94,138
290,91,121
291,100,144
292,104,156
293,112,142
294,111,195
295,92,161
296,99,149
297,113,165
298,91,147
299,103,161
300,106,154
301,102,149
302,107,176
303,100,120
304,120,196
305,100,149
306,96,123
307,106,175
308,99,161
309,107,160
310,104,139
311,96,148
312,89,163
313,105,161
314,108,159
315,84,135
316,99,139
317,80,120
318,89,141
319,108,161
320,89,154
321,106,162
322,90,134
323,106,167
324,102,153
325,97,152
326,90,147
327,84,147
328,91,149
329,96,155
330,108,158
331,111,163
332,80,121
333,101,158
334,94,137
335,84,124
336,92,120
337,101,139
338,104,153
339,99,130
340,120,179
