"SUBJECT","AGE","ATT","HYP","SOC"
1,9,-1.2,-1.2,0
2,9,0,0,1
3,13,-.4,0,.2
4,6,-.4,-.2,1.2
5,9,1,-.8,.2
6,8,.8,.2,.4
7,8,-.6,-.2,.6
8,9,-1.2,-.8,-.6
9,7,0,.2,.8
10,12,.4,-.8,.4
11,9,-.8,.8,-.2
12,10,1,-.8,1.2
13,12,1.4,-1.6,.6
14,9,1,-.2,-.2
15,12,.8,-.8,1
16,9,1,.4,.4
17,10,.4,-.2,.6
18,7,0,-.4,.6
19,12,1.1,-.6,.8
20,9,.2,-.4,.2
21,7,.4,-.2,.6
22,6,0,-3.2,1
23,11,.6,-.4,0
24,11,.4,-.4,0
25,11,1,-.7,-.6
26,11,.8,-.8,0
27,11,1.2,.6,1
28,11,.2,0,-.2
29,11,.8,-1.2,.3
30,8,0,0,-.4
31,9,.4,-.2,.2
