"B","A"
9,119
84,115
86,108
190,182
208,294
218,226
251,311
252,250
256,312
264,403
282,296
294,296
296,303
311,336
344,333
371,257
407,424
418,265
422,347
459,412
468,389
481,414
529,667
540,486
562,720
574,343
646,518
664,801
670,760
703,599
725,610
727,3900
745,4050
752,785
884,914
920,1520
966,972
985,913
994,556
1050,1330
1110,1410
1170,484
1190,867
1250,1350
1280,1560
1330,1290
1340,1540
1400,1710
1530,1333
1560,1250
1840,764
1870,1680
2070,1310
2120,1360
2170,1770
2270,2240
2490,1910
2520,2110
2526,1830
2600,1880
2770,2100
3100,1780
3270,1870
3280,2480
3410,1440
3530,2190
3900,2340
4260,3490
4300,4960
4560,7180
4610,1390
4810,1600
5070,3770
5470,2780
5576,2730
6230,1260
6260,2870
6370,2210
6430,2210
6500,2380
7120,5220
7430,2650
7800,4910
8890,4080
9930,3840
