"PCAL","PCU"
452,17.46
590,14.84
1958,27.42
2015,18.51
417,15.89
2884,17.99
1862,21.66
10471,19.03
25850,16.41
5011,18.51
5128,22.7
1548,15.31
708,17
8050,20
9942,25
791,13.1
6227,23
1473,16.7
8697,18.11
621,18.8
1832,17.08
674,18.11
3529,17.42
1467,17.42
1116,16.73
611,18.11
1083,21.56
1432,21.56
4422,22.6
3198,18.91
544,14.37
674,16.73
368,16.73
321,16.39
1592,14.32
518,16.39
815,19.82
684,17.96
870,19.82
781,18.11
727,18.11
727,18.11
781,18.11
674,16.73
1173,20.53
815,19.82
727,18.11
368,16.73
674,16.73
815,19.82
598,16.1
684,13.63
684,13.63
674,16.73
368,16.73
1148,24.15
1077,22.3
518,9.49
1657,16.1
815,19.82
368,16.73
1077,22.3
