"C1","C2","C3","C4","C5"
0,75,56,127,101
0,68,57,113,104
0,72,58,115,105
0,71,51,111,94
0,81,61,130,110
0,68,56,111,101
0,78,60,113,102
0,71,55,120,99
0,65,51,106,96
0,78,61,120,109
0,74,60,121,104
0,75,52,121,102
0,68,50,109,91
0,63,49,108,99
0,77,47,132,115
0,73,51,112,90
0,73,52,118,97
0,64,62,122,114
0,64,54,108,94
0,66,54,106,88
0,72,49,116,101
0,83,60,127,103
0,69,50,121,104
0,72,52,108,95
1,94,78,137,119
1,90,86,139,138
1,85,69,138,117
1,80,75,133,126
1,81,60,127,112
1,89,79,137,126
1,107,110,161,161
1,98,88,152,141
1,78,74,134,132
1,80,80,121,121
1,96,83,143,129
1,85,76,137,131
1,79,74,135,120
1,91,95,139,135
1,87,67,137,115
1,83,64,143,119
1,94,85,127,123
1,85,70,142,124
1,78,61,119,110
1,8,59,129,114
1,98,102,156,163
1,100,100,149,149
1,89,84,141,135
1,98,91,148,139
