,Parent,Child
1,bucked,bucked
2,bucked,bucked
3,bucked,bucked
4,bucked,bucked
5,bucked,bucked
6,bucked,bucked
7,bucked,bucked
8,bucked,bucked
9,bucked,bucked
10,bucked,bucked
11,bucked,bucked
12,bucked,bucked
13,bucked,bucked
14,bucked,bucked
15,bucked,bucked
16,bucked,bucked
17,bucked,bucked
18,bucked,bucked
19,bucked,bucked
20,bucked,bucked
21,bucked,bucked
22,bucked,bucked
23,bucked,bucked
24,bucked,bucked
25,bucked,bucked
26,bucked,bucked
27,bucked,bucked
28,bucked,bucked
29,bucked,bucked
30,bucked,bucked
31,bucked,bucked
32,bucked,bucked
33,bucked,bucked
34,bucked,bucked
35,bucked,bucked
36,bucked,bucked
37,bucked,bucked
38,bucked,bucked
39,bucked,bucked
40,bucked,bucked
41,bucked,bucked
42,bucked,bucked
43,bucked,bucked
44,bucked,bucked
45,bucked,bucked
46,bucked,bucked
47,bucked,bucked
48,bucked,bucked
49,bucked,bucked
50,bucked,bucked
51,bucked,bucked
52,bucked,bucked
53,bucked,bucked
54,bucked,bucked
55,bucked,bucked
56,bucked,bucked
57,bucked,un-buckled
58,bucked,un-buckled
59,bucked,un-buckled
60,bucked,un-buckled
61,bucked,un-buckled
62,bucked,un-buckled
63,bucked,un-buckled
64,bucked,un-buckled
65,un-buckled,bucked
66,un-buckled,bucked
67,un-buckled,un-buckled
68,un-buckled,un-buckled
69,un-buckled,un-buckled
70,un-buckled,un-buckled
71,un-buckled,un-buckled
72,un-buckled,un-buckled
73,un-buckled,un-buckled
74,un-buckled,un-buckled
75,un-buckled,un-buckled
76,un-buckled,un-buckled
77,un-buckled,un-buckled
78,un-buckled,un-buckled
79,un-buckled,un-buckled
81,un-buckled,un-buckled
82,un-buckled,un-buckled
