"DAY","ADMITS"
1,2
2,3
3,4
4,5
5,3
6,2
7,3
8,0
9,1
10,0
11,1
12,0
13,6
14,4
15,4
16,4
17,3
18,4
19,3
20,3
21,3
22,4
23,3
24,5
25,3
26,2
27,4
28,4
29,3
30,5
31,1
32,3
33,2
34,4
35,2
36,5
37,0
38,6
39,4
40,4
41,5
42,1
43,3
44,1
45,2
46,3
47,4
48,2
49,2
50,3
51,4
52,2
53,3
54,1
55,2
56,3
57,2
58,5
59,2
60,7
61,8
62,3
63,1
64,3
65,1
66,0
67,3
68,2
69,1
70,3
71,5
72,4
73,1
74,1
75,6
76,3
77,3
78,5
79,2
80,1
81,7
82,7
83,1
84,5
85,1
86,4
87,4
88,9
89,2
90,3
