Race,FolicAcid
White,Yes
White,Yes
White,Yes
White,Yes
White,Yes
White,Yes
White,Yes
White,Yes
White,Yes
White,Yes
White,Yes
White,Yes
White,Yes
White,Yes
White,Yes
White,Yes
White,Yes
White,Yes
White,Yes
White,Yes
White,Yes
White,Yes
White,Yes
White,Yes
White,Yes
White,Yes
White,Yes
White,Yes
White,Yes
White,Yes
White,Yes
White,Yes
White,Yes
White,Yes
White,Yes
White,Yes
White,Yes
White,Yes
White,Yes
White,Yes
White,Yes
White,Yes
White,Yes
White,Yes
White,Yes
White,Yes
White,Yes
White,Yes
White,Yes
White,Yes
White,Yes
White,Yes
White,Yes
White,Yes
White,Yes
White,Yes
White,Yes
White,Yes
White,Yes
White,Yes
White,Yes
White,Yes
White,Yes
White,Yes
White,Yes
White,Yes
White,Yes
White,Yes
White,Yes
White,Yes
White,Yes
White,Yes
White,Yes
White,Yes
White,Yes
White,Yes
White,Yes
White,Yes
White,Yes
White,Yes
White,Yes
White,Yes
White,Yes
White,Yes
White,Yes
White,Yes
White,Yes
White,Yes
White,Yes
White,Yes
White,Yes
White,Yes
White,Yes
White,Yes
White,Yes
White,Yes
White,Yes
White,Yes
White,Yes
White,Yes
White,Yes
White,Yes
White,Yes
White,Yes
White,Yes
White,Yes
White,Yes
White,Yes
White,Yes
White,Yes
White,Yes
White,Yes
White,Yes
White,Yes
White,Yes
White,Yes
White,Yes
White,Yes
White,Yes
White,Yes
White,Yes
White,Yes
White,Yes
White,Yes
White,Yes
White,Yes
White,Yes
White,Yes
White,Yes
White,Yes
White,Yes
White,Yes
White,Yes
White,Yes
White,Yes
White,Yes
White,Yes
White,Yes
White,Yes
White,Yes
White,Yes
White,Yes
White,Yes
White,Yes
White,Yes
White,Yes
White,Yes
White,Yes
White,Yes
White,Yes
White,Yes
White,Yes
White,Yes
White,Yes
White,Yes
White,Yes
White,Yes
White,Yes
White,Yes
White,Yes
White,Yes
White,Yes
White,Yes
White,Yes
White,Yes
White,Yes
White,Yes
White,Yes
White,Yes
White,Yes
White,Yes
White,Yes
White,Yes
White,Yes
White,Yes
White,Yes
White,Yes
White,Yes
White,Yes
White,Yes
White,Yes
White,Yes
White,Yes
White,Yes
White,Yes
White,Yes
White,Yes
White,Yes
White,Yes
White,Yes
White,Yes
White,Yes
White,Yes
White,Yes
White,Yes
White,Yes
White,Yes
White,Yes
White,Yes
White,Yes
White,Yes
White,Yes
White,Yes
White,Yes
White,Yes
White,Yes
White,Yes
White,Yes
White,Yes
White,Yes
White,Yes
White,Yes
White,Yes
White,Yes
White,Yes
White,Yes
White,Yes
White,Yes
White,Yes
White,Yes
White,Yes
White,Yes
White,Yes
White,Yes
White,Yes
White,Yes
White,Yes
White,Yes
White,Yes
White,Yes
White,Yes
White,Yes
White,Yes
White,Yes
White,Yes
White,Yes
White,Yes
White,Yes
White,Yes
White,Yes
White,Yes
White,Yes
White,Yes
White,Yes
White,Yes
White,Yes
White,Yes
White,Yes
White,Yes
White,Yes
White,Yes
White,Yes
White,Yes
White,Yes
White,Yes
White,Yes
White,Yes
White,Yes
White,Yes
White,No
White,No
White,No
White,No
White,No
White,No
White,No
White,No
White,No
White,No
White,No
White,No
White,No
White,No
White,No
White,No
White,No
White,No
White,No
White,No
White,No
White,No
White,No
White,No
White,No
White,No
White,No
White,No
White,No
White,No
White,No
White,No
White,No
White,No
White,No
White,No
White,No
White,No
White,No
White,No
White,No
White,No
White,No
White,No
White,No
White,No
White,No
White,No
White,No
White,No
White,No
White,No
White,No
White,No
White,No
White,No
White,No
White,No
White,No
White,No
White,No
White,No
White,No
White,No
White,No
White,No
White,No
White,No
White,No
White,No
White,No
White,No
White,No
White,No
White,No
White,No
White,No
White,No
White,No
White,No
White,No
White,No
White,No
White,No
White,No
White,No
White,No
White,No
White,No
White,No
White,No
White,No
White,No
White,No
White,No
White,No
White,No
White,No
White,No
White,No
White,No
White,No
White,No
White,No
White,No
White,No
White,No
White,No
White,No
White,No
White,No
White,No
White,No
White,No
White,No
White,No
White,No
White,No
White,No
White,No
White,No
White,No
White,No
White,No
White,No
White,No
White,No
White,No
White,No
White,No
White,No
White,No
White,No
White,No
White,No
White,No
White,No
White,No
White,No
White,No
White,No
White,No
White,No
White,No
White,No
White,No
White,No
White,No
White,No
White,No
White,No
White,No
White,No
White,No
White,No
White,No
White,No
White,No
White,No
White,No
White,No
White,No
White,No
White,No
White,No
White,No
White,No
White,No
White,No
White,No
White,No
White,No
White,No
White,No
White,No
White,No
White,No
White,No
White,No
White,No
White,No
White,No
White,No
White,No
White,No
White,No
White,No
White,No
White,No
White,No
White,No
White,No
White,No
White,No
White,No
White,No
White,No
White,No
White,No
White,No
White,No
White,No
White,No
White,No
White,No
White,No
White,No
White,No
White,No
White,No
White,No
White,No
White,No
White,No
White,No
White,No
White,No
White,No
White,No
White,No
White,No
White,No
White,No
White,No
White,No
White,No
White,No
White,No
White,No
White,No
White,No
White,No
White,No
White,No
White,No
White,No
White,No
White,No
White,No
White,No
White,No
White,No
White,No
White,No
White,No
White,No
White,No
White,No
White,No
White,No
White,No
White,No
White,No
White,No
White,No
White,No
White,No
White,No
White,No
White,No
White,No
White,No
White,No
White,No
White,No
White,No
White,No
White,No
White,No
White,No
White,No
White,No
White,No
White,No
White,No
White,No
White,No
White,No
White,No
White,No
White,No
