"WEIGHT","GROUP"
252,1
240,1
205,1
200,1
170,1
170,1
320,1
148,1
214,1
270,1
265,1
203,1
215,1
190,1
270,1
159,1
204,1
215,1
254,1
164,1
288,1
138,1
240,1
217,1
240,1
302,1
312,1
126,1
268,1
215,1
183,1
287,1
210,1
225,1
258,1
221,1
185,2
310,2
212,2
238,2
184,2
136,2
200,2
270,2
200,2
212,2
182,2
225,2
195,2
210,2
190,2
172,2
190,2
140,2
280,2
264,2
270,2
210,2
192,2
126,2
220,2
295,2
202,2
268,2
220,2
311,2
164,2
206,2
170,2
190,2
