"PINFRATE","GROUP"
180,1
150,1
200,1
130,1
200,1
120,1
150,1
150,1
160,1
150,1
110,1
190,1
150,1
120,1
180,1
140,1
130,1
230,1
200,1
140,1
150,1
170,1
180,1
160,1
200,1
90,1
130,1
140,1
200,1
220,1
200,1
120,1
310,1
160,1
115,1
170,1
130,1
220,1
250,1
160,1
130,1
130,1
150,1
160,1
105,1
150,1
240,1
120,1
90,1
135,1
110,1
155,1
105,1
140,1
200,1
170,1
150,1
120,1
170,1
200,1
160,1
180,1
170,1
160,1
150,1
100,1
100,1
180,1
130,1
200,1
120,1
145,1
130,1
100,1
130,1
160,1
125,1
100,1
140,1
185,1
180,1
115,1
260,1
160,1
170,1
115,1
150,1
130,1
150,1
110,1
130,1
100,1
170,1
80,1
125,1
115,1
140,1
140,1
95,1
110,1
160,1
90,1
135,1
110,1
130,1
170,1
130,1
115,1
145,1
130,1
170,1
160,1
90,1
110,1
130,1
130,1
120,1
130,1
180,1
140,1
175,1
185,1
190,1
130,1
160,1
160,1
130,1
135,1
130,1
120,1
190,1
170,1
120,1
95,1
140,1
135,1
100,1
130,1
180,1
155,1
130,1
140,1
120,1
290,1
170,1
280,1
150,1
185,1
150,1
150,1
170,1
210,1
140,1
140,1
160,1
120,1
230,1
100,1
190,1
90,1
100,1
125,1
180,1
200,1
160,1
170,1
85,1
150,1
280,1
140,1
100,1
140,1
90,1
190,1
130,1
160,2
200,2
70,2
75,2
150,2
80,2
130,2
160,2
180,2
90,2
180,2
140,2
230,2
220,2
130,2
180,2
140,2
140,2
120,2
140,2
150,2
190,2
210,2
130,2
190,2
220,2
160,2
105,2
120,2
140,2
130,2
115,2
115,2
100,2
150,2
130,2
130,2
170,2
130,2
145,2
190,2
95,2
130,2
240,2
180,2
140,2
150,2
130,2
90,2
115,2
130,2
210,2
190,2
135,2
130,2
210,2
90,2
125,2
140,2
160,2
230,2
100,2
120,2
120,2
150,2
110,2
150,2
130,2
150,2
130,2
145,2
160,2
120,2
220,2
145,2
150,2
120,2
155,2
100,2
140,2
130,2
110,2
110,2
130,2
125,2
100,2
230,2
110,2
270,2
180,2
130,2
125,2
90,2
210,2
140,2
125,2
210,2
120,2
115,2
100,2
130,2
130,2
110,2
150,2
110,2
90,2
120,2
115,2
140,2
130,2
160,2
110,2
165,2
120,2
150,2
170,2
110,2
120,2
85,2
100,3
100,3
100,3
105,3
95,3
85,3
50,3
105,3
200,3
