"AGE","ETHICS"
25,4
34,4
30,4.25
31,3.5
25,4.75
25,3.75
25,4.75
29,4.5
29,4.5
26,3.75
25,3.25
29,4.5
27,3.75
29,4.25
25,3.75
25,4.5
25,4
26,4.25
26,4
24,4
25,4
22,3.75
26,4.5
26,4.5
29,4.75
30,4.25
26,4.5
30,4.25
25,3.75
24,4.75
24,4
25,4.5
25,4
26,4.75
34,3.25
23,4.5
26,3.25
23,5
24,4.25
45,3.25
23,3.75
25,3.75
25,3.75
23,3.75
23,4.75
26,4
26,4.5
27,5
22,3.75
22,4.25
24,4.5
22,4.25
24,3.75
38,4.5
22,4.5
22,4.5
25,4
23,3.75
22,4.25
23,4
22,4.25
25,3.5
26,4.25
25,4.25
27,4.75
23,3.75
22,4
26,4.75
22,4.25
23,4
