"PERC","GROUPS"
0,"NO"
2,"NO"
1,"NO"
0,"NO"
0,"NO"
2,"NO"
3,"NO"
0,"NO"
0,"NO"
1,"NO"
0,"HT"
0,"HT"
5,"HT"
4,"HT"
6,"HT"
0,"HT"
0,"HT"
4,"HT"
8,"HT"
8,"HT"
1,"LT"
0,"LT"
5,"LT"
0,"LT"
0,"LT"
5,"LT"
18,"LT"
2,"LT"
2,"LT"
8,"LT"
0,"LT"
7,"LT"
2,"LT"
5,"LT"
1,"LT"
6,"AR"
6,"AR"
8,"AR"
16,"AR"
24,"AR"
5,"AR"
3,"AR"
22,"AR"
10,"AR"
0,"AR"
8,"AR"
3,"AR"
4,"AR"
4,"AR"
18,"AR"
0,"AR"
12,"AR"
0,"AR"
9,"AR"
7,"AR"
2,"AR"
6,"AR"
14,"AR"
10,"AR"
3,"AR"
0,"AR"
0,"AR"
1,"AR"
1,"AR"
0,"AR"
0,"AR"
4,"AR"
