"BOY","HGT"
1,60.7
2,62.4
3,59.7
4,56.2
5,55.2
6,58.6
7,59.1
8,59.5
9,56.5
10,61.1
11,55.8
12,55.9
13,61
14,62.9
15,57.8
16,56.7
17,61.7
18,56.3
19,55.8
20,62.1
21,60.6
22,59
23,62.3
24,59.2
25,57.8
26,64.1
27,54.3
28,58
29,62
30,59.3
31,62.8
32,64.4
33,57.9
34,60.6
35,56.5
36,66.2
37,60.3
38,58.6
39,56.8
40,61
41,59.4
42,62.9
43,60.6
44,58.5
45,61.7
46,57.8
47,62.2
48,55.6
49,62.8
50,59.3
51,55.7
52,55.2
53,59.4
54,56.7
55,54.6
56,55.8
57,59.4
58,60.3
59,61.5
60,62
61,57.5
62,57.4
63,60.6
64,59.5
65,57.6
66,57
67,61.2
68,57
69,60.9
70,59.8
71,56.3
72,57.8
73,58.7
74,60.2
75,54.8
76,58.4
77,56.2
78,58.5
79,57.8
80,59.5
81,53.7
82,57.2
83,58.3
84,55.5
85,63.2
86,57.3
87,54.3
88,63.4
89,58.6
90,57.7
91,59.2
92,58.5
93,59.4
94,59.4
95,57.7
96,57.9
97,60
98,59.4
99,62.8
100,57.4
101,59.2
102,56.6
103,59.7
104,54.9
105,62.4
106,62
107,59.6
108,62.3
109,60.8
110,56.6
111,56.5
112,59.2
113,56.1
114,59.1
115,56.8
116,61
117,58.7
118,61.3
119,54.2
120,57.3
121,62.7
122,56.9
123,62.7
124,53.3
125,62.7
126,60.7
127,60.8
128,59.5
129,55
130,57.9
131,57
132,61.7
133,54.9
134,55.4
135,63.1
136,58.8
137,62.3
138,57.6
139,62.4
140,64.2
141,60.5
142,60.8
143,62.2
144,63
145,57.2
146,57.5
147,60.1
148,61.8
149,59.1
150,58.8
151,62.8
152,54.9
153,61.5
154,57
155,63.6
156,57.5
157,57.8
158,59.7
159,55.5
160,62.7
161,60.9
162,59.1
163,57.6
164,61.1
165,58.2
166,58.3
167,60.8
168,60.6
169,58.1
170,62.4
171,59.6
172,64.8
173,64.4
174,57.6
175,61.7
176,62.1
177,57.4
178,61.9
179,63.3
180,58.7
181,56.9
182,61
183,62
184,58.2
185,61.2
186,62.4
187,58.7
188,56.8
189,55.5
190,56.2
191,55.2
192,55.5
193,63.9
194,60.8
195,54.8
196,63.5
197,62.4
198,62.4
199,57.4
200,56.7
201,58.7
202,63.5
203,63.2
204,61.4
205,58.1
206,62.4
207,59.4
208,56
209,55.8
210,62.5
211,59.8
212,58.1
213,55.7
214,58.1
215,55.6
216,63.2
217,55.5
218,55
219,61.4
220,58.5
221,56.7
222,58.7
223,62.8
224,63
225,59.2
226,62.7
227,56.6
228,54.4
229,55.2
230,64.9
231,60.1
232,62.6
233,60.6
234,64.5
235,61.7
236,56.4
237,59.3
238,60.8
239,59.3
240,61.7
241,58.9
242,57.9
243,59.3
244,54.1
245,63.2
246,58.1
247,58
248,63.3
249,59.1
250,53.9
251,62.6
252,63.7
253,60.2
254,62.8
255,55.8
256,58.4
257,59.4
258,59.3
259,57.8
260,58.2
261,63.7
262,60.6
263,55.7
264,56.8
265,55.6
266,56.5
267,58
268,56.3
269,58.3
270,56.2
271,61.4
272,59.5
273,54
274,61.5
275,53.8
276,59.7
277,58.8
278,55.1
279,63.2
280,60.3
281,59.4
282,61.5
283,58.6
284,60
285,58.6
286,59.3
287,58.2
288,55.5
289,61.8
290,61.1
291,57.2
292,59.2
293,56.2
294,61.7
295,63.7
296,59.9
297,59.5
298,60.1
299,63.5
300,64.6
301,56.2
302,58.2
303,61.4
304,58.8
305,63.2
306,60.3
307,56.9
308,59.1
309,56.9
310,55.1
311,58.5
312,60.2
313,59.4
314,61.2
315,64.7
316,57.1
317,59.2
318,60
319,57.8
320,60.5
321,59.3
322,58.9
323,59.2
324,57.8
325,55.8
326,60.7
327,62.9
328,59.9
329,57.7
330,57.4
331,56.9
332,60.1
333,58.9
334,55.3
335,54.4
336,63.1
337,58.9
338,58.6
339,60.6
340,55.6
341,56.6
342,61.5
343,58.3
344,59.6
345,56
346,58.7
347,62.2
348,56.3
349,54.4
350,60.1
351,57.1
352,61
353,56.1
354,60.2
355,63.6
356,59.3
357,60.5
358,62.9
359,60.7
360,57.2
361,59.6
362,62
363,59.3
364,61.1
365,58.7
366,61.7
367,61.1
368,57.7
369,54.8
370,61.6
371,55.8
372,54.1
373,58.7
374,60.2
375,61.4
376,60.8
377,61.2
378,58.9
379,60.7
380,60.2
381,54.6
382,55.5
383,55.1
384,61.8
385,58.8
386,61.2
387,61.4
388,61.7
389,60.9
390,62.3
391,59.3
392,55.9
393,58.4
394,54.7
395,59.6
396,56.9
397,58.9
398,58.9
399,56.6
400,56.8
401,60.6
402,57
403,62.5
404,59
405,54.2
406,60.4
407,63.8
408,58.5
409,58.5
410,61.5
411,59.5
412,59.7
413,57.5
414,59.9
415,56.4
416,60.2
417,62.8
418,57
419,62.1
420,62.1
421,55
422,56.2
423,58.3
424,59
425,52.9
426,55.5
427,52.8
428,59.5
429,62.8
430,59.9
431,59.3
432,60
433,56.6
434,57.4
435,59.6
436,63.2
437,58.4
438,57.8
439,58.1
440,60.2
441,64.5
442,57
443,66.1
444,59.6
445,63.3
446,60.2
447,61.9
448,57.5
449,57.3
450,62.9
451,59.5
452,61.3
453,57.5
454,60.5
455,60.9
456,57.5
457,59.9
458,59.6
459,58.8
460,61.8
461,57.3
462,58.9
463,58.8
464,63.2
465,59.2
466,59.2
467,59.9
468,59.4
469,61.2
470,63
471,57.2
472,57.9
473,59.7
474,63.6
475,60.3
476,61.9
477,63.6
478,59.4
479,57.2
480,59.8
481,59.8
482,54.9
783,58.4
484,61.6
485,58
486,58.5
487,63.8
488,62.3
489,58.8
490,59.2
491,58.7
492,64.6
493,64.3
494,57.7
495,58
496,52.9
