"LA","Group"
18,1
16.8,1
8.9,1
8.3,1
24,1
16.9,1
8.7,1
16.9,1
14.1,1
16.4,1
6.9,1
15.6,1
7.9,1
9.7,1
15.4,1
17.6,1
12.9,1
15,1
4.8,1
16.8,1
15.1,1
15.6,1
5.7,1
15.1,1
10.7,1
6.5,1
10.9,1
2.8,1
15.2,1
17.8,1
9.6,1
14,1
9.3,1
6.9,1
12.1,1
6.1,1
12.3,1
14.3,1
10.6,1
18.1,1
17.7,1
13,1
15.2,1
10.1,1
12.6,1
5.5,1
8,1
5.8,1
18.3,1
12.9,1
16.6,1
14.9,1
14.1,1
13.6,1
14.3,1
13.4,1
10.6,1
22.3,1
11.5,1
7.2,1
17.1,2
32.7,2
18.9,2
5.8,2
19.3,2
29.6,2
12.4,2
16.4,2
18.5,2
51.7,2
22.4,2
13.2,2
29,2
22.9,2
9.1,2
20.3,2
15.2,2
25.6,2
18.2,2
15.4,2
23.1,2
27.6,2
20.5,2
27.1,2
22.1,2
20.2,2
10.4,2
20.1,2
35.6,2
22.2,2
42.4,2
21.7,2
21.7,2
19,2
25,2
25.9,2
11.1,2
13.5,2
30.9,2
19.2,2
17.2,2
21.2,2
5.9,2
29.7,2
19.3,2
12.9,2
20,2
24.6,2
32.7,2
5.3,2
