"AVG","BOARD"
95.73,257
94.03,256
91.51,242
91.49,223
91.13,241
90.88,234
90.83,226
90.6,236
90.3,250
90.29,226
89.93,233
89.83,241
89.65,234
89.47,231
88.87,228
88.8,229
88.66,235
88.55,216
88.43,207
88.34,224
87.95,237
87.79,213
87.01,215
86.86,187
86.85,204
86.84,219
86.3,228
86.13,210
86.1,216
85.92,212
85.91,208
85.81,210
85.35,212
85.3,225
85.27,203
85.05,214
84.58,176
84.51,196
84.51,207
84.42,207
84.34,211
84.34,202
84.13,229
84.13,202
84.09,184
83.98,206
83.93,202
83.92,176
83.73,204
83.47,208
83.27,211
83.13,196
83.05,203
83.02,188
82.82,169
82.78,205
82.57,183
82.56,181
82.45,173
82.24,185
82.01,196
81.86,179
81.7,207
81.65,202
81.51,230
81.07,200
80.95,200
80.92,160
80.84,205
80.77,194
80.72,196
80.69,171
80.58,201
80.57,177
80.1,192
79.38,187
78.75,161
78.32,172
78.17,163
77.39,166
76.3,170
75.85,159
75.6,154
75.16,169
74.85,159
74.66,167
74.58,154
74.16,148
70.34,159
