"CLF","CLER"
137,96
106,83
165,100
127,101
139,116
102,78
72,84
86,81
85,77
122,102
76,80
57,67
62,41
90,93
165,88
132,64
159,92
148,114
116,59
124,67
76,56
40,61
23,35
27,38
64,79
44,64
59,94
47,96
17,25
67,122
25,43
24,22
65,55
69,42.5
55,71
39,34.8
58,50.3
37,38
32,32
66,53.5
49,60.7
40,66.5
34,22.6
87,61.8
77,67.7
57,51.5
69,52.4
69,65.9
76,60.9
77,93.8
66,73.8
53,99.1
26,110
89,99.9
44,73.8
27,65.8
96,109
102,76.8
159,125
115,112
82,91.6
96,83.1
121,88.8
99,94
120,91.5
101,83.8
118,97.8
116,100
116,67.5
87,97.5
59,45
96,53.5
163,84.8
39,73.7
73,87.3
45,74.8
94,100
74,73.7
70,64.8
129,119
34,30
42,65.9
48,34.9
58,55.9
30,40.1
47,48.2
35,14.8
20,14.4
152,109
100,82
86,88
69,67
108,68.7
77,83.2
85,72.8
89,82.3
105,71.1
66,56
73,61
64,79.5
26,9.12
29,8.54
39.1,93.7
75.5,65.6
86,102
106,105
77.5,67.3
87.8,96.2
25.7,6.83
89.7,74.8
108,84
58.6,79
91.7,68.5
48.9,20.6
53.5,10.3
41.4,11.8
24.4,7.94
42.3,3.96
34.1,12.7
28.3,7.17
47,6.18
30.5,9.47
38.7,13.7
60.9,17
51.3,6.81
46.1,24.8
25,7.2
29,7.9
25,6.6
40,8.6
28,5.5
132,111
94,118
90,111
87,124
48,10.6
26,9.28
54,12.5
36,9.86
26,4.74
39,7.02
27,6.57
36,13.6
15,7.6
138,100
127,108
203,121
198,143
151,126
113,111
139,109
135,102
116,110
148,94
221,110
115,101
150,110
135,143
201,115
164,103
130,103
162,169
107,140
78,87.1
87.5,134
108,108
126,118
131,109
94.4,60
87.7,82.9
94,99.6
157,123
